id,question,letter,answer,img
977,Dystrybucje systemu Linux Ubuntu rozpowszechniane są na licencjach,B,GNU GPL,0
978,Które elementy systemu komputerowego podlegają utylizacji w wyspecjalizowanych zakładach przetwarzania z uwagi na zawartość niebezpiecznych substancji lub pierwiastków chemicznych?,D,Tonery,0
979,Które medium transmisyjne wykorzystują myszki bluetooth do komunikacji z komputerem?,C,Fale radiowe w paśmie 24 GHz,0
980,Diody elektroluminescencyjne RGB są źródłem światła w skanerach,B,płaskich CIS,0
981,Użytkownik który chce drukować dokumenty jednocześnie w oryginale i trzech kopiach na papierze samokopiującym powinien do tego celu zakupić drukarkę,D,igłową,0
982,W której technologii budowy projektorów wykorzystywany jest system mikroskopijnych luster z których każde odpowiada 1 pikselowi wyświetlanego obrazu?,B,DLP,0
983,Do zasilacza UPS o mocy rzeczywistej 480 W nie należy podłączać,B,drukarki laserowej,0
984,Tusz żelowy jest stosowany w drukarkach,B,sublimacyjnych,0
985,Chusteczki nasączone płynem o właściwościach antystatycznych są przeznaczone do czyszczenia,A,ekranów monitorów CRT,0
986,Przedstawiony schemat obrazuje zasadę działania skanera,D,3D,1
987,Do pomiaru wartości mocy pobieranej przez komputer należy użyć,A,watomierza,0
988,Poprawność działania pamięci operacyjnej RAM można sprawdzić za pomocą programu diagnostycznego,D,Memtest86+,0
989,Komunikat "BIOS checksum error" wyświetlany podczas uruchomienia komputera oznacza najczęściej,D,Uszkodzoną lub rozładowaną baterię na płycie głównej,0
990,Informacje o błędach działania systemu operacyjnego Linux można uzyskać za pomocą narzędzia,C,syslog,0
991,Przy próbie zapisu danych na karcie SD pojawia się komunikat „usuń ochronę przed zapisem lub użyj innego dysku”. Przyczyną takiego komunikatu jest najczęściej,A,Ustawienie mechanicznego przełącznika blokady zapisu na karcie w pozycji ON,0
992,W systemie Linux do monitorowania bieżących procesów służy polecenie,B,ps,0
993,Monitor wydajności i niezawodności w systemie Windows jest uruchamiany za pomocą przystawki,C,perfmon.msc,0
994,Dane z dysku twardego HDD z uszkodzonym sterownikiem silnika SM można odzyskać,D,Przez wymianę płytki z elektroniką dysku na inną pochodzącą z takiego samego modelu,0
995,Użytkownicy dysków SSD w ramach zalecanych czynności konserwacyjnych nie powinni wykonywać,A,Defragmentacji dysku,0
996,W cenniku usług komputerowych znajdują się przedstawione niżej zapisy. Ile będzie wynosił koszt dojazdu serwisanta do klienta mieszkającego poza miastem w odległości 15km od siedziby firmy?,D,60 zł + VAT,1
997,Liczba 563 (8) zapisana w systemie szesnastkowym to,A,173,0
998,Wynikiem sumowania liczb binarnych 1001101 i 11001 jest,D,1100110,0
999,Komponentem płyty głównej odpowiedzialnym za komunikację pomiędzy procesorem a pozostałymi elementami płyty jest,A,chipset,0
1000,Odmianą pamięci tylko do odczytu którą można wykasować za pomocą światła ultrafioletowego jest pamięcią,C,EPROM,0
1001,Magistrala zakończona elementem przedstawionym na rysunku jest charakterystyczna dla interfejsu,A,SCSI,1
1002,Na rysunku złącze monitora oznaczone ramką czerwoną będzie współpracowało z płytą główną wyposażoną w interfejs,D,DisplayPort,1
1003,Pamięć RAM przedstawiona na rysunku montowana jest na płycie głównej wyposażonej w gniazdo,B,DDR2,1
1004,Użycie komendy perfmon w wierszu poleceń systemu Windows spowoduje,C,uruchomienie narzędzia Monitor wydajności,0
1005,Narzędzia dostrajania oraz Unity Tweak Tool to narzędzia systemu Linux służące do,D,personalizacji systemu,0
1006,Specjalny interfejs wizualny systemu Windows którego cechą charakterystyczną jest przezroczystość przypominająca szkło oraz subtelne animacje okien to,A,Aero,0
1007,Do utworzenia partycji w systemie Windows można użyć przystawki,D,diskmgmt.msc,0
1008,Narzędziem wiersza poleceń w systemie Windows służącym do kompresji oraz dekompresji plików i folderów jest program,B,Compact.exe,0
1009,Aby chronić system przed atakami z sieci określanymi mianem phishing,B,używania starszych przeglądarek internetowych,0
1010,Zagrożeniem dla bezpieczeństwa systemu operacyjnego wymuszającym jego automatyczną aktualizację są,B,luki w oprogramowaniu systemowym,0
1011,Rysunek przedstawia schemat,C,zasilacza impulsowego,1
1012,Wskaż rysunek przedstawiający symbol stosowany do oznaczenia portu równoległego LPT,D,D,1
1013,Oprogramowanie regularnie przerywające działanie poprzez wyświetlenie komunikatu żądania uiszczenia zapłaty która spowoduje usunięcie tego komunikatu jest rozpowszechniane na bazie licencji,A,nagware,0
1014,Program Mozilla Firefox jest rozpowszechniany na podstawie licencji,D,GNU MPL,0
1015,Interfejs używany do komunikacji między urządzeniami przenośnymi wykorzystujący cyfrową transmisję optyczną bezprzewodową do przesyłania danych na stosunkowo krótkim odcinku to,D,IrDA,0
1016,Interfejs równoległy którego magistrala składa się z 8 linii danych 4 linii sterujących 5 linii statusu nie zawiera linii zasilających oraz który zapewnia transmisję na odległość do 5 metrów jeśli przewody sygnałowe są skręcane z przewodami masy w przeciwnym wypadku na odległość do 2 metrów nosi nazwę,B,LPT,0
1017,Urządzenie peryferyjne sterowane za pomocą komputera stosowane do pracy z płaskimi powierzchniami wielkoformatowymi które do tworzenia wydruku odpornego na czynniki zewnętrzne wykorzystuje farby na bazie rozpuszczalników to ploter,A,solwentowy,0
1018,Urządzenie peryferyjne przedstawione na rysunku to skaner biometryczny wykorzystujący do autoryzacji,C,linie papilarne,1
1019,Drukarkę zainstalowano w systemie z rodziny Windows. Aby ustawić między innymi domyślną orientację wydruku liczbę stron na arkusz oraz dostosowanie kolorów podczas jej konfiguracji należy wykorzystać opcję,C,preferencji drukowania,0
1020,Mechanizm umożliwiający podłączenie urządzeń peryferyjnych współpracujących z systemem komputerowym w którym podłączane urządzenie jest rozpoznawane za pomocą nadanego mu numeru identyfikacyjnego to,D,Plug and Play,0
1021,Materiał eksploatacyjny drukarki 3D to,B,filament,0
1022,Wskaż rysunek przedstawiający materiał eksploatacyjny typowy dla drukarek żelowych,C,C,1
1023,Przy dłuższych przestojach drukarki atramentowej używane w niej pojemniki z tuszem powinny,B,zostać zabezpieczone w specjalnych pudełkach uniemożliwiających zasychanie dysz,0
1024,Czynnością konserwacyjną związaną z eksploatacją skanera płaskiego jest,B,regularne czyszczenie szyby skanera oraz płyty dociskowej,0
1025,Ikona z wykrzyknikiem przedstawiona na rysunku która występuje przy nazwie urządzenia w Menedżerze urządzeń oznacza że urządzenie to,C,nie działa poprawnie,1
1026,Urządzenie przedstawione na rysunku służy do,D,zmierzenia wartości napięcia dostarczanego przez zasilacz komputerowy,1
1027,Jeśli podczas uruchamiania się systemu BIOS firmy AWARD komputer wydał długi sygnał i dwa krótkie oznacza to że wystąpił błąd,B,karty graficznej,0
1028,Dostarczanie nieprawidłowych napięć do płyty głównej może prowadzić do,A,puchnięcia kondensatorów zawieszania się jednostki centralnej oraz niespodziewanych restartów,0
1029,Proces w wyniku którego pliki zgromadzone na dysku twardym są zapisywane na niesąsiadujących ze sobą klastrach jest nazywany,D,fragmentacją danych,0
1030,Uruchomienie systemu Windows jest niemożliwe z powodu usterki programowej. Aby dokonać możliwie najmniej inwazyjnej diagnozy i usunięcia tej usterki wskazane jest,A,uruchomienie komputera w trybie awaryjnym,0
1031,Podczas pracy z drukarką laserową blade wydruki lub nierównomierne nanoszenie medium drukującego mogą świadczyć o,D,wyczerpywaniu się tonera,0
1032,Przedstawiona na rysunku usterka widoczna na ekranie komputera być spowodowana przez,C,uszkodzenie modułów pamięci operacyjnej,1
1033,Programem który dostarcza najwięcej informacji diagnostycznych o procesorze CPU jest,C,HWiNFO,0
1034,W systemie Windows przypadkowo usunięto konto użytkownika bez usunięcia katalogu domowego. Odzyskanie niezaszyfrowanych danych z katalogu domowego użytkownika jest,C,możliwe za pomocą konta o uprawnieniach administratorskich,0
1035,Jednym z narzędzi używanych do tworzenia kopii partycji i dysków jest,C,Norton Ghost,0
1036,Aby zapewnić właściwie funkcjonowanie skanera należy,A,nie wkładać kartek ze zszywkami do podajnika urządzenia jeśli jest on automatyczny,0
1037,Zapis koloru RGB(255 170 129) odpowiada notacji,A,#FFAA81,0
1038,Zapis liczby siedem w systemie ósemkowym to,B,7(o),0
1039,Brak informacji o parzystości liczby lub o znaku wyniku wykonywanej operacji w ALU może świadczyć o problemach w działaniu,D,rejestru flagowego,0
1040,Funkcję bufora pomiędzy wolną pamięcią operacyjną a szybkim procesorem pełni pamięć,D,CACHE,0
1041,Procesory CISC charakteryzują się,A,dużą liczbą rozkazów,0
1042,Do przedstawionej na rysunku płyty głównej nie można podłączyć urządzenia wykorzystującego złącze,C,AGP,1
1043,Aby poprawić wydajność komputera można w nim zamontować procesor obsługujący technologię Hyper-Threading umożliwiającą,B,wykonywanie przez jeden rdzeń procesora dwóch niezależnych zadań jednocześnie,0
1044,Jaką rozdzielczość musi obsługiwać karta graficzna aby oglądać na 23-calowym monitorze materiał video w trybie Full HD?,C,1920×1080,0
1045,Użytkownik laptopa chce do niego podłączyć przedstawioną na rysunku kartę sieciową. Aby to było możliwe laptop musi być wyposażony w gniazdo,D,PCMCIA,1
1046,Który procesor należy wykorzystać podczas montażu komputera osobistego na bazie płyty głównej Asus M5A78L-M/USB3 AMD760G socket AM3+,C,AMD FX 8300 3300MHz AM3+ OEM,0
1047,Aby możliwe było przesyłanie cyfrowego sygnału audio i wideo bez strat jakości z komputera do urządzenia zewnętrznego podłączonego do wyjścia karty graficznej to karta graficzna powinna być wyposażona w interfejs,D,HDMI,0
1048,Aby uzyskać przepustowość na poziomie 4 GB/s w każdą stronę należy zamontować w zestawie komputerowym kartę graficzną wykorzystującą interfejs,D,PCI-Express x 16 wersja 1.0,0
1049,W komputerze zamontowano nowy dysk twardy o pojemności 8 TB i podzielono go na 2 partycje każda po 4 TB wielkości. Którego typu tablicy partycji należy użyć aby można było dokonać takiego partycjonowania?,A,GPT,0
1050,W który rodzaj matrycy powinien być wyposażony monitor w modernizowanym zestawie komputerowym w przypadku konieczności zapewnienia wysokiej jakości obrazu oraz szerokich kątów widzenia w poziomie i pionie?,B,IPS,0
1051,Partycją systemu Linux przechowującą tymczasowo dane w przypadku braku wolnej pamięci RAM jest,D,swap,0
1052,Administrator systemu Linux wylistował zawartość katalogu w terminalu i uzyskał następujący wynik Następnie wydał polecenie: Jaki będzie efekt jego działania wyświetlony w oknie terminala?,D,-rw- rw- r-x 1 admin admin 25 04-09 15:17 szkola.txt,0
1053,W systemie Windows za pomocą polecenia assoc można,C,zmienić skojarzenia rozszerzeń plików,0
1054,Aby zapobiec nieautoryzowanym zmianom na koncie użytkownika w systemie Windows 7 8 lub 10 wymagającym uprawnień administratora należy skonfigurować,A,UAC,0
1055,Którą z opcji konfiguracji ustawień użytkownika z ograniczonymi uprawnieniami w systemie Windows umożliwia przystawka secpol?,A,Zezwolenie na zmianę czasu systemowego,0
1056,Minimalną długość hasła użytkownika w systemie Windows można ustawić za pomocą polecenia,C,net accounts,0
1057,Rysunek przedstawia wynik wykonania programu,C,tree,1
1058,Administrator systemu Windows zauważył wyraźne spowolnienie pracy komputera spowodowane małą ilością wolnej pamięci RAM. Aby sprawdzić który program zużywa jej najwięcej należy użyć programu,D,tasklist,0
1059,Użytkownik systemu Windows za pomocą programu Cipher może,A,chronić dane przez szyfrowanie plików,0
1060,W dokumentacji technicznej procesora producent umieścił wyniki testu przeprowadzonego za pomocą programu CPU-Z. Wynika z niego że procesor ma,A,2 rdzenie,1
1061,Prawo do modyfikowania kodu oprogramowania przez jego użytkownika daje licencja typu,C,GNU GPL,0
1062,Który typ licencji uprawnia do dowolnych modyfikacji kopiowania oraz rozpowszechniania po uiszczeniu dowolnej opłaty na rzecz autora?,D,donationware,0
1063,Transmisja interfejsem równoległym synchronicznym cechuje się tym że,A,w wyznaczonych okresach czasu określanych sygnałem zegarowym CLK dane przesyłane są jednocześnie kilkoma przewodami,0
1064,Który interfejs umożliwia korzystanie ze sterowników i oprogramowania systemu operacyjnego zapewniając m.in. przepływ danych między pamięcią systemową a dyskiem SATA?,C,AHCI,0
1065,W skanerze z układami CIS elementem oświetlającym skanowany dokument jest,D,grupa trójkolorowych diod LED,0
1066,Aby zapobiec występowaniu różnic w kolorach między zeskanowanymi zdjęciami wyświetlanymi na monitorze komputerowym a ich oryginałami należy wykonać,D,kalibrację skanera,0
1067,Który przyrząd pomiarowy służy do sprawdzenia wartości napięć w zasilaczu?,C,Woltomierz,0
1068,Impulsator umożliwia testowanie uszkodzonych układów logicznych komputera między innymi przez,B,podanie na wejście układu stanu wysokiego,0
1069,Użytkownik systemu Linux chcąc przetestować dysk twardy pod kątem występowania na nim uszkodzonych sektorów może użyć programu,A,fsck,0
1070,Za pomocą przedstawionego na rysunku urządzenia można przetestować działanie,A,zasilacza,1
1071,Użytkownik ma problem z rozruchem systemu Windows. Aby to naprawić uruchomił narzędzie System Image Recovery które,A,przywraca system na podstawie kopii zapasowej,0
1072,Za pomocą polecenia taskmgr użytkownik systemu Windows może,C,zakończyć działanie wadliwej aplikacji,0
1073,Do sprawdzania rozmiaru katalogu w systemie Linux służy polecenie,A,du,0
1074,W systemie Windows po wydaniu polecenia systeminfo NIE UZYSKA SIĘ informacji o,B,liczbie partycji podstawowych,0
1075,W strategii archiwizacji danych zwanej Dziadek – Ojciec – Syn na poziomie Dziadek wykonuje się kopię danych na koniec,C,miesiąca,0
1076,Programem służącym do archiwizacji danych w systemie Linux jest,D,tar,0
1077,Liczba BACA zapisana w systemie heksadecymalnym odpowiada liczbie,D,1011101011001010 (2),0
1078,Do realizacji iloczynu logicznego z negacją należy użyć funktora,C,NAND,0
1079,Element płyty głównej odpowiedzialny za wymianę danych między mikroprocesorem a pamięcią operacyjną RAM oraz magistralą karty graficznej jest na rysunku oznaczony numerem,A,6,1
1080,Odnalezienie głównego rekordu rozruchowego wczytującego system z aktywnej partycji umożliwia,C,BootstrapLoader,0
1081,Montaż przedstawionej karty graficznej będzie możliwy na płycie głównej wyposażonej w złącze,D,PCI-E x16,1
1082,Modułem pamięci RAM kompatybilnym z płytą główną GIGABYTE GA-X99-ULTRA GAMING/ X99/8xDDR4 2133 ECC max 128GB/ 4x PCI-E 16x/ RAID/ USB 3.1/ S-2011-V3/ATX jest pamięć,B,HPE 32GB (1x32GB) Quad Rank x4 DDR4-2133 CAS-15-15-15 Load Reduced Memory Kit ECC,0
1083,W którym gnieździe należy zainstalować procesor INTEL CORE i3-4350- 3.60 GHz x2/4 4MB 54W HD 4600 BOX s-1150?,B,B,1
1084,W systemach Linux aby dodać repozytorium można użyć poleceń,A,zypper ar oraz add-apt-repository,0
1085,Aby w systemie Windows ustawić właściwości wszystkich zainstalowanych urządzeń lub wyświetlić ich listę należy użyć narzędzia,A,devmgmt.msc,0
1086,W systemie Windows użycie prezentowanego polecenia spowoduje tymczasową zmianę koloru,C,czcionki wiersza poleceń,1
1087,Która czynność NIE służy do personalizacji systemu operacyjnego Windows?,D,Ustawienie wielkości partycji wymiany,0
1088,Do konfiguracji i personalizacji środowiska graficznego GNOME w różnych systemach Linux należy wykorzystać program,B,GNOME Tweak Tool,0
1089,Narzędziem wiersza poleceń w systemie Windows umożliwiającym zamianę tablicy partycji GPT na MBR jest program,A,diskpart,0
1090,Aby wyświetlić przedstawioną informację o systemie Linux w terminalu mależy użyć polecenia,B,uname -a,1
1091,Przedstawione wbudowane narzędzie systemów Windows w wersji Enterprise lub Ultimate służy do,A,kryptograficznej ochrony danych na dyskach,1
1092,Do wykonania obrazu dysku twardego można użyć programu,B,Acronis True Image,0
1093,Umowa na mocy której użytkownik ma między innymi wgląd do kodu źródłowego oprogramowania w celu jego analizy oraz udoskonalania to licencja,D,GNU GPL,0
1094,Wskaż znak umieszczany na urządzeniach elektrycznych przeznaczonych do obrotu i sprzedaży w Unii Europejskiej,B,B,1
1095,Interfejs UDMA to interfejs,C,równoległy który został zastąpiony przez interfejs SATA,0
1096,Przedstawiony panel tylny płyty głównej jest wyposażony w interfejsy:,B,2 x USB 3.0; 4 x USB 2.0 1.1 1 x D-SUB,1
1097,Przedstawiony schemat obrazuje zasadę działania,A,myszy optycznej,1
1098,DB-25 jest wykorzystywane jako złącze,D,portu równoległego LPT,0
1099,Aby podłączyć projektor multimedialny do komputera nie należy używać złącza,C,SATA,0
1100,Materiałem eksploatacyjnym stosowanym w rzutniku multimedialnym jest,B,lampa projekcyjna,0
1101,Wymiana baterii należy do czynności związanych z eksploatacją,C,myszy bezprzewodowej,0
1102,Drukarka fotograficzna ma bardzo brudną obudowę oraz wyświetlacz. Aby usunąć zabrudzenia należy użyć,C,wilgotnej ściereczki oraz pianki do czyszczenia plastiku,0
1103,Pracownik serwisu komputerowego podczas wykonywania konserwacji i czyszczenia drukarki laserowej odłączonej od źródła zasilania może wykorzystać jako środek ochrony indywidualnej,D,rękawiczki ochronne,0
1104,Pliki specjalne urządzeń tworzone podczas instalacji sterowników w systemie Linux są zapisywane w katalogu,A,/dev,0
1105,Które narzędzie najlepiej wykorzystać do lekkiego odgięcia blachy obudowy komputera oraz zamocowania śruby montażowej w trudno dostępnym miejscu?,D,D,1
1106,Aby wymontować dysk twardy zamocowany w laptopie za pomocą przedstawionych śrub montażowych najlepiej użyć wkrętaka typu,B,philips,1
1107,Komputer wyposażony w BIOS firmy Award wygenerował komunikat o treści Primary/Secondary master/slave hard disk fail. Komunikat ten może oznaczać konieczność wymiany,C,dysku twardego,0
1108,Na wyświetlaczu drukarki pojawił się komunikat "PAPER JAM". Aby usunąć usterkę należy w pierwszej kolejności,D,zlokalizować miejsce zacięcia papieru w drukarce,0
1109,Komputer ma podłączoną mysz bezprzewodową a kursor podczas pracy nie porusza się płynie "skacze" po ekranie. Przyczyną usterki urządzenia może być,D,wyczerpywanie się baterii zasilającej,0
1110,Komputer którego naprawa ma zostać przeprowadzona u klienta nie reaguje na wciśnięcie przycisku POWER. Pierwszą czynnością harmonogramu prac związanych z lokalizacją i usunięciem tej usterki powinno być,B,sprawdzenie zasilania w gniazdku sieciowym,0
1111,Narzędziem systemu Windows służącym do sprawdzenia wpływu poszczególnych procesów i usłg na wydajność procesora oraz tego w jakim stopniu generują one obciążenie pamięci czy dysku jest,A,resmon,0
1112,Polecenie uname -s w systemie Linux jest wykorzystywane do sprawdzania,B,nazwy jądra systemu operacyjnego,0
1113,Natychmiast po zauważeniu utraty ważnych plików na dysku twardym użytkownik powinien,A,uchronić dysk przed zapisem nowych danych,0
1114,Program typu recovery w warunkach domowych pozwala na odzyskanie danych z dysku twardego w przypadku,D,przypadkowego usunięcia danych,0
1115,Przedstawiona na diagramie strategia zapisu kopii zapasowych na nośnikach nosi nazwę,B,wieża Hanoi,1
1116,Po wykonaniu eksportu klucza HKCR zostanie zapisana kopia rejestru zawierająca informacje dotyczące konfiguracji,D,powiązań między typami plików a aplikacjami,0
1117,Liczba 51(10) zapisana w systemie dwójkowym ma postać,D,110011,0
1118,Dysk SSD to urządzenie wykorzystujące,C,pamięć półprzewodnikową flash,0
1119,Które stwierdzenie NIE dotyczy pamięci typu cache L1?,C,Ma dłuższy czas dostępu niż pamięć RAM,0
1120,Które z urządzeń wykorzystuje metodę polegającą na detekcji zmian pojemności elektrycznej przy sterowaniu kursorem na ekranie?,C,touchpad,0
1121,Użytkownik notebooka chce w jego wnętrzu zamontować drugi dysk twardy. Notebook jest wyposażony tylko w jedną zatokę dla HDD. Rozwiązaniem tego problemu może być wykorzystanie dysku wyposażonego w interfejs,A,mSATA,0
1122,Który standard złącza DVI umożliwia przesyłanie wyłącznie sygnału analogowego,D,D,1
1123,Zamontowanie w komputerze przedstawionej karty umożliwi,A,rejestrację przetwarzanie oraz odtwarzanie obrazu telewizyjnego,1
1124,W serwerach warto stosować dyski obsługujące tryb Hot plugging ponieważ,D,jest możliwe podłączenie oraz odłączenie dysku przy włączonym zasilaniu serwera,0
1125,Który procesor jest kompatybilny z płytą główną o przedstawionej specyfikacji?,A,A,1
1126,Analiza wyświetlonych przez program danych pozwala stwierdzić że,D,partycja wymiany zajmuje 2 GiB,1
1127,System Windows 8 w którym wcześniej utworzono punkt przywracania systemu uległ awarii. Które polecenie należy wydać aby przywrócić pliki i ustawienia systemu?,A,rstrui,0
1128,Niekorzystną cechą macierzy RAID 0 jest,B,brak odporności na awarię choćby jednego dysku,0
1129,Jaki rodzaj tablicy partycji należy wybrać aby utworzyć na dysku twardym partycję o wielkości 3TB?,A,GPT,0
1130,Przedstawiony komunikat jest wynikiem działania polecenia,D,icacls C:Windows,1
1131,Jednym z efektów wykonania przedstawionego polecenia jest,B,ustawienie możliwości zmiany hasła po upływie jednego dnia,1
1132,Jaka jest różnica pomiędzy poleceniem ps a poleceniem top w systemie Linux?,D,Polecenie top wyświetla aktualnie działające w systemie procesy odświeżając na bieżąco informacje a ps nie,0
1133,Program o nazwie dd dla którego przedstawiono przykład zastosowania w systemie Linux pozwala na,D,stworzenie obrazu nośnika danych,1
1134,Która przystawka w systemie Windows umożliwia sprawdzenie stanu sprzętu aktualizację sterowników oraz rozwiązanie konfliktów urządzeń?,D,devmgmt,0
1135,Integralną częścią systemu Windows 10 chroniącą jego użytkowników przed złośliwym oprogramowaniem jest program,D,Windows Defender,0
1136,Zapis "10 W" w dokumentacji technicznej głośnika komputerowego odnosi się do jego,A,mocy,0
1137,Mechanizm zasilacza komputerowego chroniący przed przegrzaniem zasilacza jest oznaczony w dokumentacji technicznej jako zabezpieczenie typu,B,OTP,0
1138,Licencją wolnego i otwartego oprogramowania jest,B,GNU GPL,0
1139,ACPI jest interfejsem umożliwiającym,C,zarządzanie konfiguracją i energią dostarczaną do poszczególnych urządzeń komputera,0
1140,W którym rodzaju skanera są wykorzystywane fotopowielacze?,C,bębnowym,0
1141,Karta dźwiękowa umożliwiająca odtworzenie pliku zapisanego w formacie MP3 powinna być wyposażona w układ,A,DAC,0
1142,Kod BREAK odczytywany przez układ elektroniczny klawiatury oznacza,A,zwolnienie klawisza,0
1143,Toner jest materiałem eksploatacyjnym drukarki,B,laserowej,0
1144,Włączenie podczas konfiguracji skanera opcji OCR daje możliwość,D,zamiany zeskanowanego obrazu na edytowalny dokument tekstowy,0
1145,Na rysunku przedstawiono grot wkrętaka typu,A,torx,1
1146,Program służący do diagnozy komputera wyświetlił komunikat NIC ERROR. Komunikat ten oznacza awarię karty,C,sieciowej,0
1147,W systemie Linux program fsck pozwala na,A,zlokalizowanie i naprawę uszkodzonych sektorów na dysku twardym,0
1148,Uruchomienie systemu Windows w trybie debugowania pozwala na,A,eliminację błędów w działaniu systemu,0
1149,Przyczyną awarii klawiatury może być uszkodzenie,C,przełącznika membranowego,1
1150,Ogólne informacje o zdarzeniach systemowych w systemie Linux są przechowywane w,A,pliku messages,0
1151,Przedstawioną diagnostykę systemu Linux można zrealizować za pomocą polecenia,B,lscpu,1
1152,Parametry którego urządzenia można monitorować za pomocą S.M.A.R.T.?,A,Dysku twardego,0
1153,Którym programem NIE można się posłużyć aby odzyskać dane w systemie Windows na podstawie wcześniej utworzonej kopii?,D,FileCleaner,0
1154,Do zmiany nazwy pliku i jego lokalizacji w systemie Windows służy polecenie,B,move,0
1155,Jakiego programu wbudowanego w system Windows 8 Pro można użyć aby zaszyfrować dane?,A,BitLocker,0
1156,W firmie należało naprawić 5 komputerów oraz serwer. Czas naprawy każdego komputera wyniósł 15 godziny a serwera 25 godziny. Cena usługi wynosi 10000 zł za roboczogodzinę plus podatek VAT 23%. Jaka będzie należność brutto za tę usługę?,B,123000 zł,0
1157,Która warstwa modelu ISO/OSI jest związana z protokołem IP?,A,Sieciowa,0
1158,Jaką ilość rzeczywistych danych można przesłać w czasie 1 s przez łącze synchroniczne o przepustowości 512 kbps bez sprzętowej i programowej kompresji?,B,Około 55 kB,0
1159,Wskaż urządzenie które należy wykorzystać aby podłączyć dwa komputery do sieci Internet z dostępem przez sieć lokalną Ethernet w której mamy do dyspozycji tylko jeden adres IP,A,Router LAN,0
1160,W celu zdalnego i przy tym bezpiecznego administrowania systemem Linux należy wykorzystać protokół,D,SSH2,0
1161,Jakie połączenie z Internetem można udostępniać sieci lokalnej?,A,Wszystkie rodzaje połączeń,0
1162,Aby użytkownicy sieci lokalnej mogli przeglądać strony WWW protokołami HTTP i HTTPS brama internetowa musi przepuszczać ruch na portach,B,80 i 443,0
1163,Podczas montażu sieci komputerowej przy wierceniu otworów w ścianach NIE NALEŻY używać,D,rękawic ochronnych,0
1164,Wybierz medium które w sieciach komputerowych zapewnia najszybszą transmisję danych,C,Kabel światłowodowy,0
1165,Karta sieciowa standardu Fast Ethernet pozwala na transfer danych z maksymalną szybkością,B,100 Mbps,0
1166,W celu uzyskania w sieci lokalnej prędkości przesyłania danych 100 Mbps zastosowano karty sieciowe pracujące w standardzie Fast Ethernet kabel standardu UTP w odpowiedniej kategorii oraz przełącznik (switch) pracujący w standardzie Fast Ethernet. Sieć taka jest wykonana w topologii,D,STAR,0
1167,Który adres protokołu IP w wersji 4 ma prawidłową strukturę?,A,192.21.140.16,0
1168,Przydzielaniem numerów IP w sieci zajmuje się serwer,A,DHCP,0
1169,Aby usunąć opisaną usterkę należy,B,zmienić konfiguracje adresów IP i/lub masek podsieci im odpowiadających w taki sposób aby oba komputery znalazły się w tej samej podsieci,1
1170,Zrzut ekranu przedstawia efekt polecenia arp -Jak należy zinterpretować tę informację?,C,Brak bieżących wpisów protokołu ARP,1
1171,Usługa Windows XP Professional "Mostek sieciowy" pozwala na łączenie ze sobą,A,segmentów sieci LAN,0
1172,Numer IP przypisany komputerowi umożliwia odbiorcy pakietu IP rozróżnienie identyfikatorów,B,sieci i hosta,0
1173,Polecenie tracert to narzędzie diagnostyczne które ustala,A,ścieżkę do lokalizacji docelowej,1
1174,Włączenie usługi Udostępnienie połączenia internetowego w systemie Windows uruchamia automatyczne nadawanie adresów IP dla komputerów (hostów) z niej korzystających. W tym celu wykorzystywana jest usługa,C,DHCP,0
1175,Komputery przenośne są z reguły wyposażone w bezprzewodowe sieci LAN. Ograniczenia ich użytkowania dotyczą emisji fal radiowych mogących zakłócać działanie innych ważnych dla bezpieczeństwa urządzeń,B,w samolocie,0
1176,Aby użytkownicy sieci lokalnej mogli przeglądać strony WWW protokołami HTTP i HTTPS brama internetowa musi przepuszczać ruch na portach,B,80 i 443,0
1177,Na zdjęciu przedstawiono,A,terminator BNC,1
1178,Zdjęcie przedstawia,B,wtyk światłowodu,1
1179,Które z wymienionych poleceń w systemie Windows XP służy do sprawdzenia bieżącej konfiguracji IP systemu Windows?,B,ipconfig,0
1180,Urządzenie ADSL służy do uzyskania połączenia,D,cyfrowego asymetrycznego,0
1181,Jednostką opisującą szybkość transmisji danych w sieciach komputerowych jest,C,bps,0
1182,W systemie Windows XP na komputerze klienckim plik "hosts" jest plikiem tekstowym który służy do mapowania,B,nazw hostów na adresy IP,0
1183,Do połączenia kilku komputerów w sieć lokalną można użyć,B,router,0
1184,Serwer DNS jest serwerem,D,dzięki któremu nazwy mnemoniczne (opisowe) mogą zostać zamienione na odpowiadające im adresy IP,0
1185,Numer IP zapisuje się w postaci czterech oddzielonych od siebie kropkami,A,oktetów,0
1186,Komputer ma dostęp do Internetu poprzez sieć lokalną. Wpisując w przeglądarce internetowej adres www.wp.pl użytkownik nie ma dostępu do strony WWW natomiast wpisanie adresu IP np. 212.77.100.101 pozwala otworzyć tę stronę. Co może być tego przyczyną?,A,Brak serwera DNS,0
1187,Który z wymienionych adresów IP v.4 jest adresem klasy C?,B,223.0.10.1,0
1188,Adres IP v.4 ma długość,C,32 bitów,0
1189,Jakie polecenie w systemach Windows/Linux jest zwyczajowo stosowane do śledzenia trasy pakietów w sieciach IP?,C,tracert/traceroute,0
1190,Jaki przewód należy zastosować do instalacji sieci w pomieszczeniach w których występują silne pola zakłócające?,A,Ekranowany,0
1191,W systemie Windows moduł odpowiedzialny za internetowe usługi informacyjne to,A,IIS,0
